KEGG_Pathway	CTU_ABQ_Rm_LE	CTU_ABR_Rm_LE	CTU_ABX_Rm_LE	CTU_ABZ_Rp_LE	CTU_ACA_Rp_LE	CTU_ACB_Rp_LE	CTU_ACC_Rp_LE	CTU_ACE_Rp_LE	CTU_ACG_Rp_LE	AL_Rm_LE	AM_Rm_LE	AN_Rm_LE	AS_Rp_LE	AT_Rp_LE	AU_Rp_LE	AV_Rp_LE	AW_Rp_LE	BK_Rm_LE	BL_Rm_LE	BM_Rm_LE	BN_Rm_LE	BO_Rm_LE	BP_Rm_LE	BQ_Rm_LE	BRZ_GK_Rm_Control	BRZ_GL_Rp_Control	BRZ_GN_Rm_Control	BRZ_GP_Rp_Control	BRZ_GS_Rm_Control	BRZ_GT_Rp_Control	BRZ_HA_Rm_Control	BRZ_HB_Rp_Control	BRZ_HE_Rm_Control	BRZ_HF_Rp_Control	BRZ_HI_Rm_Control	BRZ_HK_Rp_Control	BRZ_HN_Rm_Control	BRZ_HP_Rp_Control	BRZ_HS_Rm_Control	BRZ_HT_Rp_Control	BRZ_IB_Rm_Control	BRZ_IC_Rp_Control	BRZ_IF_Rm_Control	BRZ_IG_Rp_Control	BX_Rp_LE	BY_Rp_LE	BZ_Rp_LE	sum
ko04120	14	23	31	29	23	34	36	19	15	38	54	13	23	43	26	35	36	87	30	38	59	71	33	61	35	88	49	37	121	24	60	23	49	67	61	56	66	62	141	40	40	126	28	28	30	42	24	2168
ko04122	46803	44311	45174	54740	32742	45945	48149	37619	38816	44485	49137	42904	44877	40464	40352	53360	53595	53695	42167	41130	44922	42253	50664	53893	70507	107585	103087	98464	125405	98872	90862	102316	76271	92573	121307	159981	78464	154380	135414	160320	149833	189148	102853	74379	38650	64304	49316	3536488
ko04130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	1	0	2	0	0	0	5	0	0	0	1	0	0	0	0	0	17
ko04137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	7	0	1	0	2	0	4	0	15	0	5	0	0	0	0	0	41
ko04138	2481	2248	2314	3457	2349	3542	3382	2591	2246	2379	2938	1818	3140	2539	2664	3639	4195	2652	2542	1898	2319	3114	3343	4537	6510	7916	6971	8822	7322	9614	4530	11040	4736	5170	6342	8655	5135	14143	7498	11984	10551	19746	6157	6734	3259	3284	3452	247898
ko04139	3	5	1	7	6	4	1	3	7	5	3	4	5	2	6	6	1	4	0	4	2	2	5	4	4	14	0	19	8	4	3	7	4	1	8	23	1	4	11	15	8	25	9	0	2	4	4	268
ko04140	398	275	446	153	66	117	73	83	64	411	623	336	67	169	41	195	44	1098	636	443	446	395	597	809	264	223	148	22	129	139	176	18	49	77	57	203	67	57	317	138	118	119	94	9	80	79	150	10718
ko04141	22896	20436	23373	24750	15064	20598	20726	15872	21711	23166	25571	24995	23285	20886	22093	28583	25993	32141	22668	20236	24526	22934	25147	27661	35730	64105	55223	46991	74811	43882	50342	52187	39236	49599	68770	85825	40916	74997	74544	89542	82720	95720	51779	38210	19280	31013	27222	1847955
ko04142	98305	88745	84475	118852	58514	85679	91848	69674	91244	70328	79369	80092	74207	63587	69443	125458	76248	94239	73124	61471	89062	69978	77563	92954	148086	183310	135202	123365	220642	99331	157151	144485	88007	147727	167712	237360	106807	169025	211373	215412	223848	299929	130754	97690	75739	84068	107387	5558869
ko04144	31	6	29	19	18	42	19	8	17	26	57	31	37	79	31	42	33	53	28	17	23	106	52	119	65	180	115	101	184	58	100	94	91	77	130	78	84	124	215	84	281	395	67	61	37	46	82	3672
ko04145	3	0	0	3	3	7	0	0	1	3	25	4	6	5	2	10	5	22	13	4	6	0	5	6	27	26	14	3	15	1	12	1	5	35	0	68	3	7	161	116	12	28	4	1	0	15	25	712
ko04146	53049	47593	51644	52157	35234	46200	51595	40283	51449	45697	51961	51375	49032	41820	44641	53488	52517	60435	44994	40134	50874	46102	51994	52129	75366	141290	106620	118660	154253	107340	119920	122774	81902	118273	146876	174274	95425	166124	156930	186303	174988	178270	115157	93407	36710	58656	51468	3947383
ko04150	18	11	15	48	3	30	0	6	0	46	28	34	5	25	1	48	5	53	75	17	39	29	28	98	164	105	34	4	0	132	109	8	5	29	11	3	8	18	40	21	9	23	23	2	21	20	41	1492
ko04151	24075	22417	24190	23548	14847	22127	22306	16909	20539	24091	26194	25124	23844	21158	22113	29306	26293	32528	23298	21326	25795	23778	25780	26803	34151	74379	46362	47172	81290	44901	54031	54619	42752	54528	74968	94906	45520	78408	80761	96843	89320	82863	56334	40993	20076	30499	26707	1920772
ko04152	22108	21500	20801	17638	13271	20643	21822	15747	17094	19926	21840	19998	19066	17029	17249	22018	21347	26161	19492	18893	21848	18394	20230	19801	25637	65450	37935	39528	68925	43085	44747	46202	37911	48889	66331	76669	41098	66139	68836	83149	76755	57589	50623	36802	15668	24950	19247	1616081
ko04210	15150	12739	13400	12925	8683	12892	13101	9847	12780	11055	11836	13307	11413	10062	10592	13733	12115	14676	10822	9770	13747	10935	11167	11213	17026	40301	22286	23001	42873	21692	28551	25352	20760	30695	37871	46196	23529	35278	38973	46652	44280	33115	28772	20573	9570	13418	11812	950536
ko04211	6720	5891	6814	6255	3755	4765	5533	4080	6058	5498	7125	7204	5842	4953	5309	6043	5870	7604	5551	5009	6444	5500	6131	6409	7862	16695	10066	10617	19178	11799	13338	11650	9411	13557	17713	20336	10491	17119	16777	20842	19128	16748	12820	9606	3698	6943	5433	442190
ko04212	55400	51296	56085	58448	38310	53861	55043	42300	49925	51756	57384	52026	54306	47729	49143	64376	60825	64913	50561	47745	55070	49783	59355	62961	90918	144859	131857	123410	162374	118599	122693	127648	121818	123130	154855	185627	101043	231461	165457	195289	188973	229985	124432	98297	45481	67194	57688	4401689
ko04213	36183	32388	34047	34906	22339	33517	33802	23836	29680	31610	34150	32650	31948	28160	27977	36959	34596	39595	29407	27450	32313	29166	33443	35145	49181	88735	83735	65786	98090	70573	71511	77326	53491	72958	95094	112115	57789	103786	99836	116999	111094	112814	71526	57112	25339	40121	33217	2533495
ko04214	3773	3117	3353	3829	2907	3546	3493	2634	2969	3971	3617	4455	4318	3610	3704	4760	4657	4522	3937	2934	3994	3928	4359	4695	8349	8426	11928	11240	9696	9227	12368	10014	6516	8466	13780	13575	8386	16792	13664	14829	13492	23964	10026	7671	4080	4996	5049	337616
ko04215	26	15	25	73	28	45	32	18	64	9	22	19	23	26	19	34	9	18	42	20	53	11	9	21	23	21	46	1	50	16	8	1	64	5	225	454	49	212	83	81	16	405	25	110	23	16	29	2624
ko04216	42908	38574	40937	43684	27952	37003	41118	32134	42477	36287	38965	40219	38296	32672	35449	43248	40595	47504	35323	31024	41692	36094	40270	39446	59839	114772	79108	92983	123325	79144	100585	94623	64895	97715	118593	137159	77866	127468	124388	147406	142334	132645	91861	72171	29310	42589	40244	3114894
ko04217	85214	76771	85929	89115	56588	80521	85162	65860	78073	76859	88760	75974	78294	68991	73741	96289	92656	98792	74482	70947	82789	75733	85310	95044	128269	226012	174230	173317	250295	171601	168922	195517	130292	170918	220498	287141	139521	271164	249432	302493	289046	331299	178087	141303	68740	101167	89761	6396919
ko04218	0	0	0	0	0	0	0	3	0	0	5	0	1	1	4	1	3	4	25	1	11	1	4	1	0	20	2	7	6	41	4	26	1	4	4	5	2	33	5	23	7	36	9	2	1	1	17	321
ko04260	710	157	173	150	414	277	301	181	696	292	782	2276	1093	1070	1026	358	922	684	313	552	675	750	703	1236	791	706	2270	202	732	2751	29	1636	851	720	1578	3082	485	1565	365	1250	258	4404	849	931	204	3467	918	45835
ko04261	31	72	73	130	35	61	29	75	85	105	258	71	86	115	62	296	86	294	67	138	70	94	73	154	55	697	79	197	381	590	22	1321	247	126	268	581	237	564	99	1019	232	2227	237	291	29	101	187	12347
ko04270	5	0	0	0	0	0	0	0	0	3	1	12	0	0	0	0	0	19	3	2	2	3	9	1	7	0	0	0	4	0	4	0	0	0	0	0	4	0	5	0	2	0	1	0	0	0	0	87
ko04310	5	0	0	0	0	0	0	0	0	3	1	12	0	0	0	0	0	19	3	2	2	3	9	1	0	1	0	0	0	4	0	4	0	0	0	1	0	3	0	4	0	3	0	1	0	0	0	81
